gesture_id,label,start_time,end_time,ax,ay,az,gx,gy,gz
51,IDLE,1768044812.0646162,1768044813.1604187,-15152,6160,348,-2235,1079,-278
51,IDLE,1768044812.0646162,1768044813.1604187,-15188,5868,160,-1625,923,35
51,IDLE,1768044812.0646162,1768044813.1604187,-15208,5724,88,-718,956,595
51,IDLE,1768044812.0646162,1768044813.1604187,-15200,5932,96,-386,1193,625
51,IDLE,1768044812.0646162,1768044813.1604187,-15448,6160,152,-840,1318,454
51,IDLE,1768044812.0646162,1768044813.1604187,-15540,6196,184,-1285,1168,438
51,IDLE,1768044812.0646162,1768044813.1604187,-15424,6048,396,-1439,1076,854
51,IDLE,1768044812.0646162,1768044813.1604187,-15308,5728,388,-1081,624,1557
51,IDLE,1768044812.0646162,1768044813.1604187,-15140,5276,264,-511,274,1874
51,IDLE,1768044812.0646162,1768044813.1604187,-14708,5152,-140,-148,353,1648
51,IDLE,1768044812.0646162,1768044813.1604187,-14652,5444,-264,-505,762,1049
51,IDLE,1768044812.0646162,1768044813.1604187,-14660,5632,-128,-876,931,575
51,IDLE,1768044812.0646162,1768044813.1604187,-14676,5832,-120,-1092,830,349
51,IDLE,1768044812.0646162,1768044813.1604187,-14816,6000,-264,-938,711,419
51,IDLE,1768044812.0646162,1768044813.1604187,-14856,6308,-412,-915,632,631
51,IDLE,1768044812.0646162,1768044813.1604187,-14860,6316,-452,-1159,788,730
51,IDLE,1768044812.0646162,1768044813.1604187,-14840,6272,-236,-1341,1094,618
52,IDLE,1768044813.1636524,1768044814.2595093,-14868,5980,-228,-1376,1004,429
52,IDLE,1768044813.1636524,1768044814.2595093,-15120,6252,24,-669,1152,613
52,IDLE,1768044813.1636524,1768044814.2595093,-15016,6172,-72,167,744,824
